Key,Item Type,Publication Year,Author,Title,Url,Company,Model,Desired behaviour,Type of desired behaviour,Definition of desired behaviour,Source of definition,Type of source of definition,Training method for desired behaviour,Actors involved in training,Type of actor involved in training,Benchmark,Benchmark author,Benchmark author type,External evaluator,Type of external evaluator,Page
T8QMJ4FU,document,2024,Anthropic,"The Claude 3 model family: Opus, Sonnet, Haiku",,Anthropic,Claude 3 Family,Honesty,Factuality,Having the model's assertions be in line with its knowledge and not asserting things it knows to be false; expressing uncertainty when unsure.,,,Trained the model to output fewer claims that it can identify are false,Anthropic,internal,100Q Hard; Easy-Medium QA; Multi-factual,Anthropic,internal,,,18
NWKEIQTV,document,2026,Anthropic,Claude Opus 4.6 System Card,https://www-cdn.anthropic.com/c788cbc0a3da9135112f97cdf6dcd06f2c16cee2.pdf,Anthropic,Claude Opus 4.6,Honesty,,"Models that provide accurate information, acknowledge uncertainty, and avoid asserting claims they cannot support; avoid hallucinating",Anthropic internal,internal,RLHF and reinforcement learning from AI feedback,"Anthropic, crowdworkers",internal,100Q-Hard,Anthropic,internal,,,74-76
3GE36RMI,document,2025,Anthropic,Claude Opus 4.5 System Card,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,Anthropic,Claude Opus 4.5,Honesty,,Recognize the limitations of their knowledge and not to make claims that they know to be false.,,,Honesty training,Anthropic internal teams,internal,100Q-Hard,Anthropic,internal,,,48
FPFBD8PV,document,2026,Anthropic,Claude Sonnet 4.5 System Card,https://www-cdn.anthropic.com/963373e433e489a87a10c823c52a0a013e9172dd.pdf,Anthropic,Claude Sonnet 4.5,Honesty,,"provide accurate information and appropriately express uncertainty when it lacks knowledge... truthful, acknowledge their limitations, and avoid making claims they cannot substantiate",,,"During reinforcement learning, Claude models are trained to be honest and not to make claims that they know to be false.",Anthropic,internal,100Q-Hard,Anthropic,internal,,,21
VYJXF52G,preprint,2025,"OpenAI; El-Kishky, Ahmed; Wei, Alexander; Saraiva, Andre; Minaiev, Borys; Selsam, Daniel; Dohan, David; Song, Francis; Lightman, Hunter; Clavera, Ignasi; Pachocki, Jakub; Tworek, Jerry; Kuhn, Lorenz; Kaiser, Lukasz; Chen, Mark; Schwarzer, Max; Rohaninejad, Mostafa; McAleese, Nat; contributors, o3; Mürk, Oleg; Garg, Rhythm; Shu, Rui; Sidor, Szymon; Kosaraju, Vineet; Zhou, Wenda",Competitive Programming with Large Reasoning Models,http://arxiv.org/abs/2502.06807,OpenAI,"o1, o1-ioi, o3",Advanced computational thinking,Reasoning,Solving complex algorithmic problems demands advanced computational thinking and problem solving skills.,,,"Reinforcement learning applied to large language models to ""reason"" and ""think through"" extended chains of thought; RL fine-tuning emphasizing challenging programming problems.",OpenAI,internal,2024 International Olympiad in Informatics (IOI),IOI committee,nonprofit,,,"4, 6"
YJ2AIUGY,preprint,2025,"Singh, Aaditya; Fry, Adam; Perelman, Adam; Tart, Adam; Ganesh, Adi; El-Kishky, Ahmed; McLaughlin, Aidan; Low, Aiden; Ostrow, A. J.; Ananthram, Akhila; Nathan, Akshay; Luo, Alan; Helyar, Alec; Madry, Aleksander; Efremov, Aleksandr; Spyra, Aleksandra; Baker-Whitcomb, Alex; Beutel, Alex; Karpenko, Alex; Makelov, Alex; Neitz, Alex; Wei, Alex; Barr, Alexandra; Kirchmeyer, Alexandre; Ivanov, Alexey; Christakis, Alexi; Gillespie, Alistair; Tam, Allison; Bennett, Ally; Wan, Alvin; Huang, Alyssa; Sandjideh, Amy McDonald; Yang, Amy; Kumar, Ananya; Saraiva, Andre; Vallone, Andrea; Gheorghe, Andrei; Garcia, Andres Garcia; Braunstein, Andrew; Liu, Andrew; Schmidt, Andrew; Mereskin, Andrey; Mishchenko, Andrey; Applebaum, Andy; Rogerson, Andy; Rajan, Ann; Wei, Annie; Kotha, Anoop; Srivastava, Anubha; Agrawal, Anushree; Vijayvergiya, Arun; Tyra, Ashley; Nair, Ashvin; Nayak, Avi; Eggers, Ben; Ji, Bessie; Hoover, Beth; Chen, Bill; Chen, Blair; Barak, Boaz; Minaiev, Borys; Hao, Botao; Baker, Bowen; Lightcap, Brad; McKinzie, Brandon; Wang, Brandon; Quinn, Brendan; Fioca, Brian; Hsu, Brian; Yang, Brian; Yu, Brian; Zhang, Brian; Brenner, Brittany; Zetino, Callie Riggins; Raymond, Cameron; Lugaresi, Camillo; Paz, Carolina; Hudson, Cary; Whitney, Cedric; Li, Chak; Chen, Charles; Cole, Charlotte; Voss, Chelsea; Ding, Chen; Shen, Chen; Huang, Chengdu; Colby, Chris; Hallacy, Chris; Koch, Chris; Lu, Chris; Kaplan, Christina; Kim, Christina; Minott-Henriques, C. J.; Frey, Cliff; Yu, Cody; Czarnecki, Coley; Reid, Colin; Wei, Colin; Decareaux, Cory; Scheau, Cristina; Zhang, Cyril; Forbes, Cyrus; Tang, Da; Goldberg, Dakota; Roberts, Dan; Palmie, Dana; Kappler, Daniel; Levine, Daniel; Wright, Daniel; Leo, Dave; Lin, David; Robinson, David; Grabb, Declan; Chen, Derek; Lim, Derek; Salama, Derek; Bhattacharjee, Dibya; Tsipras, Dimitris; Li, Dinghua; Yu, Dingli; Strouse, D. J.; Williams, Drew; Hunn, Dylan; Bayes, Ed; Arbus, Edwin; Akyurek, Ekin; Le, Elaine Ya; Widmann, Elana; Yani, Eli; Proehl, Elizabeth; Sert, Enis; Cheung, Enoch; Schwartz, Eri; Han, Eric; Jiang, Eric; Mitchell, Eric; Sigler, Eric; Wallace, Eric; Ritter, Erik; Kavanaugh, Erin; Mays, Evan; Nikishin, Evgenii; Li, Fangyuan; Such, Felipe Petroski; Peres, Filipe de Avila Belbute; Raso, Filippo; Bekerman, Florent; Tsimpourlas, Foivos; Chantzis, Fotis; Song, Francis; Zhang, Francis; Raila, Gaby; McGrath, Garrett; Briggs, Gary; Yang, Gary; Parascandolo, Giambattista; Chabot, Gildas; Kim, Grace; Zhao, Grace; Valiant, Gregory; Leclerc, Guillaume; Salman, Hadi; Wang, Hanson; Sheng, Hao; Jiang, Haoming; Wang, Haoyu; Jin, Haozhun; Sikchi, Harshit; Schmidt, Heather; Aspegren, Henry; Chen, Honglin; Qiu, Huida; Lightman, Hunter; Covert, Ian; Kivlichan, Ian; Silber, Ian; Sohl, Ian; Hammoud, Ibrahim; Clavera, Ignasi; Lan, Ikai; Akkaya, Ilge; Kostrikov, Ilya; Kofman, Irina; Etinger, Isak; Singal, Ishaan; Hehir, Jackie; Huh, Jacob; Pan, Jacqueline; Wilczynski, Jake; Pachocki, Jakub; Lee, James; Quinn, James; Kiros, Jamie; Kalra, Janvi; Samaroo, Jasmyn; Wang, Jason; Wolfe, Jason; Chen, Jay; Wang, Jay; Harb, Jean; Han, Jeffrey; Wang, Jeffrey; Zhao, Jennifer; Chen, Jeremy; Yang, Jerene; Tworek, Jerry; Chand, Jesse; Landon, Jessica; Liang, Jessica; Lin, Ji; Liu, Jiancheng; Wang, Jianfeng; Tang, Jie; Yin, Jihan; Jang, Joanne; Morris, Joel; Flynn, Joey; Ferstad, Johannes; Heidecke, Johannes; Fishbein, John; Hallman, John; Grant, Jonah; Chien, Jonathan; Gordon, Jonathan; Park, Jongsoo; Liss, Jordan; Kraaijeveld, Jos; Guay, Joseph; Mo, Joseph; Lawson, Josh; McGrath, Josh; Vendrow, Joshua; Jiao, Joy; Lee, Julian; Steele, Julie; Wang, Julie; Mao, Junhua; Chen, Kai; Hayashi, Kai; Xiao, Kai; Salahi, Kamyar; Wu, Kan; Sekhri, Karan; Sharma, Karan; Singhal, Karan; Li, Karen; Nguyen, Kenny; Gu-Lemberg, Keren; King, Kevin; Liu, Kevin; Stone, Kevin; Yu, Kevin; Ying, Kristen; Georgiev, Kristian; Lim, Kristie; Tirumala, Kushal; Miller, Kyle; Ahmad, Lama; Lv, Larry; Clare, Laura; Fauconnet, Laurance; Itow, Lauren; Yang, Lauren; Romaniuk, Laurentia; Anise, Leah; Byron, Lee; Pathak, Leher; Maksin, Leon; Lo, Leyan; Ho, Leyton; Jing, Li; Wu, Liang; Xiong, Liang; Mamitsuka, Lien; Yang, Lin; McCallum, Lindsay; Held, Lindsey; Bourgeois, Liz; Engstrom, Logan; Kuhn, Lorenz; Feuvrier, Louis; Zhang, Lu; Switzer, Lucas; Kondraciuk, Lukas; Kaiser, Lukasz; Joglekar, Manas; Singh, Mandeep; Shah, Mandip; Stratta, Manuka; Williams, Marcus; Chen, Mark; Sun, Mark; Cayton, Marselus; Li, Martin; Zhang, Marvin; Aljubeh, Marwan; Nichols, Matt; Haines, Matthew; Schwarzer, Max; Gupta, Mayank; Shah, Meghan; Huang, Melody; Dong, Meng; Wang, Mengqing; Glaese, Mia; Carroll, Micah; Lampe, Michael; Malek, Michael; Sharman, Michael; Zhang, Michael; Wang, Michele; Pokrass, Michelle; Florian, Mihai; Pavlov, Mikhail; Wang, Miles; Chen, Ming; Wang, Mingxuan; Feng, Minnia; Bavarian, Mo; Lin, Molly; Abdool, Moose; Rohaninejad, Mostafa; Soto, Nacho; Staudacher, Natalie; LaFontaine, Natan; Marwell, Nathan; Liu, Nelson; Preston, Nick; Turley, Nick; Ansman, Nicklas; Blades, Nicole; Pancha, Nikil; Mikhaylin, Nikita; Felix, Niko; Handa, Nikunj; Rai, Nishant; Keskar, Nitish; Brown, Noam; Nachum, Ofir; Boiko, Oleg; Murk, Oleg; Watkins, Olivia; Gleeson, Oona; Mishkin, Pamela; Lesiewicz, Patryk; Baltescu, Paul; Belov, Pavel; Zhokhov, Peter; Pronin, Philip; Guo, Phillip; Thacker, Phoebe; Liu, Qi; Yuan, Qiming; Liu, Qinghua; Dias, Rachel; Puckett, Rachel; Arora, Rahul; Mullapudi, Ravi Teja; Gaon, Raz; Miyara, Reah; Song, Rennie; Aggarwal, Rishabh; Marsan, R. J.; Yemiru, Robel; Xiong, Robert; Kshirsagar, Rohan; Nuttall, Rohan; Tsiupa, Roman; Eldan, Ronen; Wang, Rose; James, Roshan; Ziv, Roy; Shu, Rui; Nigmatullin, Ruslan; Jain, Saachi; Talaie, Saam; Altman, Sam; Arnesen, Sam; Toizer, Sam; Toyer, Sam; Miserendino, Samuel; Agarwal, Sandhini; Yoo, Sarah; Heon, Savannah; Ethersmith, Scott; Grove, Sean; Taylor, Sean; Bubeck, Sebastien; Banesiu, Sever; Amdo, Shaokyi; Zhao, Shengjia; Wu, Sherwin; Santurkar, Shibani; Zhao, Shiyu; Chaudhuri, Shraman Ray; Krishnaswamy, Shreyas; Shuaiqi; Xia; Cheng, Shuyang; Anadkat, Shyamal; Fishman, Simón Posada; Tobin, Simon; Fu, Siyuan; Jain, Somay; Mei, Song; Egoian, Sonya; Kim, Spencer; Golden, Spug; Mah, S. Q.; Lin, Steph; Imm, Stephen; Sharpe, Steve; Yadlowsky, Steve; Choudhry, Sulman; Eum, Sungwon; Sanjeev, Suvansh; Khan, Tabarak; Stramer, Tal; Wang, Tao; Xin, Tao; Gogineni, Tarun; Christianson, Taya; Sanders, Ted; Patwardhan, Tejal; Degry, Thomas; Shadwell, Thomas; Fu, Tianfu; Gao, Tianshi; Garipov, Timur; Sriskandarajah, Tina; Sherbakov, Toki; Kaftan, Tomer; Hiratsuka, Tomo; Wang, Tongzhou; Song, Tony; Zhao, Tony; Peterson, Troy; Kharitonov, Val; Chernova, Victoria; Kosaraju, Vineet; Kuo, Vishal; Pong, Vitchyr; Verma, Vivek; Petrov, Vlad; Jiang, Wanning; Zhang, Weixing; Zhou, Wenda; Xie, Wenlei; Zhan, Wenting; McCabe, Wes; DePue, Will; Ellsworth, Will; Bain, Wulfie; Thompson, Wyatt; Chen, Xiangning; Qi, Xiangyu; Xiang, Xin; Shi, Xinwei; Dubois, Yann; Yu, Yaodong; Khakbaz, Yara; Wu, Yifan; Qian, Yilei; Lee, Yin Tat; Chen, Yinbo; Zhang, Yizhen; Xiong, Yizhong; Tian, Yonglong; Cha, Young; Bai, Yu; Yang, Yu; Yuan, Yuan; Li, Yuanzhi; Zhang, Yufeng; Yang, Yuguang; Jin, Yujia; Jiang, Yun; Wang, Yunyun; Wang, Yushi; Liu, Yutian; Stubenvoll, Zach; Dou, Zehao; Wu, Zheng; Wang, Zhigang",OpenAI GPT-5 System Card,http://arxiv.org/abs/2601.03267,OpenAI,GPT-5,Honesty,,honestly admitting it can not complete the task,,,"We placed gpt-5-thinking in a variety of tasks that were partly or entirely infeasible to accomplish, and rewarded the model for honestly admitting it can not complete the task",OpenAI,internal,AbstentionBench,Kirichenko et al.,academic,,,14
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ZZY89RTG,webpage,2024,Gemma Team,Gemma model card,https://ai.google.dev/gemma/docs/core/model_card,Google,Gemma,"Question answering, summarization, and reasoning",General,"Ability to generate English-language text in response to the input, such as an answer to a question, or a summary of a document.",,,Pre-training and instruction tuning,Internal teams,internal,AGIEval,,academic,,,
3W2UY9FD,webpage,2024,Meta,Llama 3.1 model card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,Meta,Llama 3.1,Helpfulness and safety,"Helpfulness, Safety","Align with human preferences for helpfulness and safety; respects the dignity and autonomy of all users, without insertion unnecessary judgment or normativity.","Meta internal values (openness, inclusivity and helpfulness)",internal,supervised fine-tuning (SFT) and reinforcement learning with human feedback (RLHF),,,AGIEval,,academic,,,
